Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
76;19929;"Interfaces";journal;"00922102, 1526551X";0,609;Q2;62;33;124;714;117;116;0,92;21,64;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1983-1988, 1996-2019";"Management of Technology and Innovation (Q2); Management Science and Operations Research (Q2); Strategy and Management (Q2)"
77;15961;"Naval Research Logistics";journal;"15206750, 0894069X";0,602;Q2;65;46;125;1871;144;124;1,01;40,67;United States;Northern America;"John Wiley and Sons Inc.";"1973-1978, 1987-2020";"Management Science and Operations Research (Q2); Modeling and Simulation (Q2); Ocean Engineering (Q2)"
78;21100438074;"Journal of Modelling in Management";journal;"17465672, 17465664";0,566;Q2;24;59;130;3653;321;129;2,29;61,92;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2006-2020";"Decision Sciences (miscellaneous) (Q2); Management Science and Operations Research (Q2); Strategy and Management (Q2)"
79;25195;"Applied Stochastic Models in Business and Industry";journal;"15264025, 15241904";0,563;Q2;36;108;216;3442;288;179;1,48;31,87;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1999-2020";"Business, Management and Accounting (miscellaneous) (Q2); Management Science and Operations Research (Q2); Modeling and Simulation (Q2)"
80;21100235632;"Asian Journal of Shipping and Logistics";journal;"20925212";0,544;Q2;16;34;102;1369;244;100;2,21;40,26;Netherlands;Western Europe;"Elsevier BV";"2009-2020";"Business and International Management (Q2); Management of Technology and Innovation (Q2); Management Science and Operations Research (Q2); Transportation (Q2)"
81;22315;"Personal and Ubiquitous Computing";journal;"16174909, 16174917";0,544;Q2;83;146;259;5382;754;235;3,32;36,86;United Kingdom;Western Europe;"Springer London";"1997-2020";"Computer Science Applications (Q2); Hardware and Architecture (Q2); Management Science and Operations Research (Q2)"
82;11700154400;"TOP";journal;"11345764, 18638279";0,542;Q2;22;35;102;984;97;74;1,55;28,11;Germany;Western Europe;"Springer Verlag";"1993-1996, 2003, 2008-2020";"Discrete Mathematics and Combinatorics (Q2); Information Systems and Management (Q2); Management Science and Operations Research (Q2); Modeling and Simulation (Q2); Statistics and Probability (Q3)"
83;21100810438;"Proceedings of the 16th Conference on Formal Methods in Computer-Aided Design, FMCAD 2016";conference and proceedings;"-";0,507;-;7;0;29;0;52;27;1,93;0,00;United States;Northern America;"";"";"Control and Systems Engineering; Industrial and Manufacturing Engineering; Management Science and Operations Research; Strategy and Management"
84;21100299408;"Supply Chain Forum";journal;"16246039, 16258312";0,506;Q2;10;25;77;1659;128;68;1,79;66,36;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2013-2020";"Business and International Management (Q2); Management of Technology and Innovation (Q2); Management Science and Operations Research (Q2)"
85;19700187506;"International Journal of Shipping and Transport Logistics";journal;"17566517, 17566525";0,495;Q3;20;26;99;1223;120;95;1,20;47,04;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2010-2020";"Business and International Management (Q2); Management of Technology and Innovation (Q2); Transportation (Q2); Management Science and Operations Research (Q3)"
86;19400158510;"Logistics Research";journal;"18650368, 1865035X";0,489;Q3;18;10;47;463;72;47;0,73;46,30;Germany;Western Europe;"Bundesvereinigung Logistik (BVL)";"2009-2010, 2012-2019";"Computer Science Applications (Q2); Control and Systems Engineering (Q2); Information Systems (Q2); Management Information Systems (Q2); Management Science and Operations Research (Q3)"
87;19900192221;"Journal of Management Control";journal;"2191477X, 21914761";0,482;Q3;15;15;53;1228;108;43;2,90;81,87;Germany;Western Europe;"Physica-Verlag";"2011-2020";"Management Information Systems (Q2); Management of Technology and Innovation (Q2); Strategy and Management (Q2); Management Science and Operations Research (Q3)"
88;14054;"SORT";journal;"16962281, 20138830";0,475;Q3;17;16;44;755;46;43;1,00;47,19;Spain;Western Europe;"Institut d'Estadistica de Catalunya";"2003-2019";"Management Science and Operations Research (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)"
89;4700152908;"Knowledge Management Research and Practice";journal;"14778238, 14778246";0,462;Q3;34;68;129;4817;329;127;2,43;70,84;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2006-2020";"Business and International Management (Q2); Library and Information Sciences (Q2); Management Information Systems (Q2); Management of Technology and Innovation (Q2); Strategy and Management (Q2); Management Science and Operations Research (Q3)"
90;21100374809;"Journal of Science and Technology Policy Management";journal;"20534639, 20534620";0,445;Q3;13;60;64;4170;210;55;3,97;69,50;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2014-2020";"Industrial Relations (Q2); Management of Technology and Innovation (Q2); Strategy and Management (Q2); Management Science and Operations Research (Q3)"
91;21100394100;"IET Networks";journal;"20474962, 20474954";0,423;Q3;16;45;118;1651;321;111;2,65;36,69;United Kingdom;Western Europe;"Institution of Engineering and Technology";"2014-2020";"Computer Networks and Communications (Q2); Control and Optimization (Q3); Management Science and Operations Research (Q3)"
92;21100806906;"Uncertain Supply Chain Management";journal;"22916822, 22916830";0,415;Q3;12;56;83;2744;234;83;2,31;49,00;Canada;Northern America;"Growing Science";"2013-2020";"Business and International Management (Q2); Management Information Systems (Q2); Strategy and Management (Q2); Management Science and Operations Research (Q3); Statistics, Probability and Uncertainty (Q3)"
93;24017;"ZWF Zeitschrift fuer Wirtschaftlichen Fabrikbetrieb";journal;"09470085";0,401;Q3;13;101;585;1116;197;542;0,38;11,05;Germany;Western Europe;"Carl Hanser Verlag GmbH &amp; Co. KG";"1995-2019";"Engineering (miscellaneous) (Q1); Strategy and Management (Q2); Management Science and Operations Research (Q3)"
94;23110;"Asia-Pacific Journal of Operational Research";journal;"02175959";0,393;Q3;30;47;166;1546;168;163;1,03;32,89;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"1991, 1996-2020";"Management Science and Operations Research (Q3)"
95;21100301413;"Journal of the Operations Research Society of China";journal;"21946698, 2194668X";0,385;Q3;11;59;97;1526;73;95;0,72;25,86;United States;Northern America;"Springer Science + Business Media";"2013-2020";"Applied Mathematics (Q3); Management Science and Operations Research (Q3); Mathematics (miscellaneous) (Q3)"
96;21100242231;"Built Environment Project and Asset Management";journal;"2044124X, 20441258";0,379;Q3;17;66;123;3069;203;113;1,57;46,50;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2011-2020";"Civil and Structural Engineering (Q3); Management Science and Operations Research (Q3)"
97;21100200822;"Pakistan Journal of Statistics and Operation Research";journal;"22205810, 18162711";0,376;Q3;11;34;167;897;112;167;0,60;26,38;Pakistan;Asiatic Region;"College of Statistical and Actuarial Sciences, University of Punjab";"2011-2019";"Management Science and Operations Research (Q3); Modeling and Simulation (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)"
98;4000149501;"International Journal of Product Lifecycle Management";journal;"17435110, 17435129";0,374;Q3;20;4;53;179;47;51;0,82;44,75;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2005-2019";"Business and International Management (Q2); Safety, Risk, Reliability and Quality (Q2); Management Science and Operations Research (Q3)"
99;4700151504;"International Journal of Logistics Systems and Management";journal;"17427975, 17427967";0,373;Q3;28;78;226;3746;325;226;1,30;48,03;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2006-2020";"Information Systems and Management (Q2); Management Information Systems (Q2); Management Science and Operations Research (Q3)"
100;15810;"Probability in the Engineering and Informational Sciences";journal;"02699648, 14698951";0,361;Q3;36;68;99;1127;95;91;1,14;16,57;United Kingdom;Western Europe;"Cambridge University Press";"1987-2020";"Industrial and Manufacturing Engineering (Q2); Management Science and Operations Research (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)"
101;21100457058;"Management and Production Engineering Review";journal;"20821344, 20808208";0,358;Q3;12;47;125;1731;232;125;1,54;36,83;Poland;Eastern Europe;"Polish Academy of Sciences, Production Engineering Committee";"2012-2013, 2015-2019";"Business and International Management (Q2); Industrial and Manufacturing Engineering (Q2); Management of Technology and Innovation (Q3); Management Science and Operations Research (Q3); Organizational Behavior and Human Resource Management (Q3)"
102;19700181204;"OPSEARCH";journal;"00303887, 09750320";0,357;Q3;17;72;131;2234;175;131;1,24;31,03;Germany;Western Europe;"Springer India";"2009-2020";"Management Information Systems (Q2); Computer Science Applications (Q3); Information Systems (Q3); Management Science and Operations Research (Q3)"
103;21100244225;"Competition and Regulation in Network Industries";journal;"17835917";0,355;Q3;6;30;32;995;36;31;1,53;33,17;United Kingdom;Western Europe;"SAGE Publications Inc.";"2013-2020";"Business, Management and Accounting (miscellaneous) (Q2); Management Science and Operations Research (Q3)"
104;21100807851;"Journal of Global Operations and Strategic Sourcing";journal;"23985364";0,354;Q3;21;27;47;2028;107;47;2,50;75,11;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2017-2020";"Management Science and Operations Research (Q3); Organizational Behavior and Human Resource Management (Q3); Strategy and Management (Q3)"
105;11900154344;"Foundations and Trends in Technology, Information and Operations Management";journal;"15719545";0,346;Q3;13;14;31;194;11;31;0,26;13,86;United States;Northern America;"Now Publishers Inc";"2005, 2007-2014, 2016-2019";"Management Science and Operations Research (Q3)"
106;5600155030;"New Directions for Evaluation";journal;"10976736";0,341;Q3;37;37;131;902;50;118;0,44;24,38;United States;Northern America;"Wiley-Blackwell";"1995-2020";"Education (Q3); Management Science and Operations Research (Q3); Strategy and Management (Q3)"
107;20608;"Journal of Global Information Management";journal;"10627375, 15337995";0,338;Q3;39;39;77;2583;112;77;1,59;66,23;United States;Northern America;"IGI Publishing";"2002-2020";"Business and International Management (Q2); Information Systems and Management (Q2); Computer Science Applications (Q3); E-learning (Q3); Management Science and Operations Research (Q3); Strategy and Management (Q3)"
108;12991;"RAIRO - Operations Research";journal;"12903868, 03990559";0,334;Q3;24;95;216;3281;245;214;1,21;34,54;France;Western Europe;"EDP Sciences";"1977-1978, 1995-2019";"Computer Science Applications (Q3); Management Science and Operations Research (Q3); Theoretical Computer Science (Q3)"
109;21100812608;"8th Power Electronics, Drive Systems and Technologies Conference, PEDSTC 2017";conference and proceedings;"-";0,333;-;6;0;95;0;95;94;1,01;0,00;United States;Northern America;"";"";"Engineering (miscellaneous); Information Systems and Management; Management of Technology and Innovation; Management Science and Operations Research; Medicine (miscellaneous)"
110;4400151406;"International Journal of Operational Research";journal;"17457653, 17457645";0,321;Q3;24;80;252;2747;180;250;0,57;34,34;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2006-2020";"Management Science and Operations Research (Q3)"
111;4700152455;"International Journal of Process Management and Benchmarking";journal;"14606739, 1741816X";0,308;Q3;13;25;79;1137;75;79;0,78;45,48;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2005-2009, 2013-2020";"Business and International Management (Q2); Management Science and Operations Research (Q3); Strategy and Management (Q3)"
112;21100200829;"International Journal of Engineering Business Management";journal;"18479790";0,307;Q3;18;36;82;1888;139;76;1,93;52,44;Croatia;Eastern Europe;"SAGE Publications Inc.";"2009-2020";"Management Science and Operations Research (Q3); Organizational Behavior and Human Resource Management (Q3)"
113;19700173246;"Academia Revista Latinoamericana de Administracion";journal;"10128255, 20565127";0,305;Q3;11;38;99;2639;132;93;1,09;69,45;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2008-2020";"Business and International Management (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Education (Q3); Management Science and Operations Research (Q3); Organizational Behavior and Human Resource Management (Q3); Public Administration (Q3); Strategy and Management (Q3)"
