Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
38;24840;"International Journal of Human Resource Management";journal;"09585192, 14664399";1,263;Q1;107;221;521;18313;1808;371;4,27;82,86;United Kingdom;Western Europe;"Routledge";"1990-2020";"Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)"
39;16242;"Journal of Law, Economics, and Organization";journal;"14657341, 87566222";1,257;Q1;67;15;72;699;86;70;1,15;46,60;United Kingdom;Western Europe;"Oxford University Press";"1985-2020";"Economics and Econometrics (Q1); Law (Q1); Organizational Behavior and Human Resource Management (Q1)"
40;17743;"British Journal of Industrial Relations";journal;"14678543, 00071080";1,159;Q1;67;50;97;2761;263;92;2,73;55,22;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1963, 1965, 1967-1968, 1970-2020";"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1)"
41;29139;"Public Relations Review";journal;"03638111";1,159;Q1;75;100;308;7067;986;304;3,38;70,67;United States;Northern America;"Elsevier BV";"1975-2020";"Communication (Q1); Marketing (Q1); Organizational Behavior and Human Resource Management (Q1)"
42;15398;"Journal of Career Assessment";journal;"10690727, 15524590";1,119;Q1;56;60;125;3658;405;124;3,12;60,97;United States;Northern America;"SAGE Publications Inc.";"1993-2020";"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Psychology (miscellaneous) (Q1)"
43;144986;"Career Development International";journal;"13620436";1,052;Q1;56;54;119;4059;416;115;3,49;75,17;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1996-2020";"Organizational Behavior and Human Resource Management (Q1); Social Sciences (miscellaneous) (Q1)"
44;20654;"Journal of Managerial Psychology";journal;"02683946";1,046;Q1;74;44;156;2235;496;155;2,17;50,80;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1986-2020";"Applied Psychology (Q1); Management Science and Operations Research (Q1); Organizational Behavior and Human Resource Management (Q1); Social Psychology (Q1)"
45;7100153132;"Human Resource Development Review";journal;"15526712";0,973;Q1;45;20;59;2013;247;55;3,24;100,65;United States;Northern America;"SAGE Publications Inc.";"2002-2020";"Organizational Behavior and Human Resource Management (Q1)"
46;14200154735;"Educational Assessment, Evaluation and Accountability";journal;"18748597, 18748600";0,959;Q1;28;22;63;1511;128;48;1,47;68,68;Netherlands;Western Europe;"Springer Netherlands";"2009-2020";"Education (Q1); Organizational Behavior and Human Resource Management (Q1)"
47;12300154710;"Economic and Labour Relations Review";journal;"10353046, 18382673";0,887;Q1;18;31;97;1470;222;93;2,22;47,42;United States;Northern America;"SAGE Publications Inc.";"1990-2020";"Organizational Behavior and Human Resource Management (Q1); Economics and Econometrics (Q2)"
48;4100151524;"Research in Personnel and Human Resources Management";book series;"07427301";0,867;Q1;35;6;20;1103;34;20;1,14;183,83;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2000-2012, 2014-2019";"Organizational Behavior and Human Resource Management (Q1)"
49;20146;"Industrial Relations";journal;"00198676, 1468232X";0,862;Q1;54;21;70;983;95;69;1,53;46,81;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1961-2020";"Industrial Relations (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)"
50;4700152289;"Human Resource Development Quarterly";journal;"15321096, 10448004";0,861;Q1;61;30;64;2262;214;50;4,94;75,40;United States;Northern America;"Wiley-Blackwell";"1990-2020";"Arts and Humanities (miscellaneous) (Q1); Organizational Behavior and Human Resource Management (Q1)"
51;11400153332;"Asia Pacific Journal of Human Resources";journal;"10384111, 17447941";0,858;Q1;31;54;86;3860;229;70;3,26;71,48;United States;Northern America;"Wiley-Blackwell";"1966-1967, 1970, 1972-1974, 1976, 1978-1999, 2007-2020";"Organizational Behavior and Human Resource Management (Q1)"
52;16082;"Economic and Industrial Democracy";journal;"0143831X, 14617099";0,854;Q1;37;67;142;4423;246;85;3,16;66,01;United Kingdom;Western Europe;"SAGE Publications Ltd";"1980-2020";"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)"
53;130081;"Leadership and Organization Development Journal";journal;"01437739";0,845;Q2;62;65;200;4382;591;199;2,72;67,42;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1980-2020";"Business, Management and Accounting (miscellaneous) (Q1); Organizational Behavior and Human Resource Management (Q2)"
54;63777;"Personnel Review";journal;"00483486";0,841;Q2;67;175;246;14383;834;243;3,17;82,19;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1971-2020";"Applied Psychology (Q2); Organizational Behavior and Human Resource Management (Q2)"
55;21100803392;"Cross Cultural and Strategic Management";journal;"20595794";0,825;Q2;37;33;101;3483;320;99;2,63;105,55;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2016-2020";"Business and International Management (Q1); Cultural Studies (Q1); Sociology and Political Science (Q1); Strategy and Management (Q1); Organizational Behavior and Human Resource Management (Q2)"
56;22751;"Journal of Economic Inequality";journal;"15691721, 15738701";0,821;Q2;36;30;71;1321;111;64;1,34;44,03;Netherlands;Western Europe;"Springer Netherlands";"2004-2020";"Economics, Econometrics and Finance (miscellaneous) (Q1); Sociology and Political Science (Q1); Organizational Behavior and Human Resource Management (Q2)"
57;19900193253;"Behavioral Research in Accounting";journal;"15588009, 10504753";0,818;Q2;21;18;46;1171;86;43;2,11;65,06;United States;Northern America;"American Accounting Association";"2009-2019";"Accounting (Q2); Organizational Behavior and Human Resource Management (Q2)"
58;21100470105;"SIGIR 2016 - Proceedings of the 39th International ACM SIGIR Conference on Research and Development in Information Retrieval";conference and proceedings;"-";0,794;-;22;0;228;0;993;225;0,00;0,00;United States;Northern America;"";"";"Industrial and Manufacturing Engineering; Management Science and Operations Research; Organizational Behavior and Human Resource Management"
59;13194;"Career Development Quarterly";journal;"21610045, 08894019";0,790;Q2;49;25;87;1147;189;85;1,77;45,88;United States;Northern America;"Wiley-Blackwell";"1986-2020";"Applied Psychology (Q2); Organizational Behavior and Human Resource Management (Q2); Psychology (miscellaneous) (Q2)"
60;21100922610;"Journal of Professions and Organization";journal;"20518811, 20518803";0,790;Q2;14;14;30;895;71;29;1,56;63,93;United States;Northern America;"Oxford University Press";"2014-2016, 2018-2019";"Business and International Management (Q1); Strategy and Management (Q1); Organizational Behavior and Human Resource Management (Q2)"
