Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
201;27287;"Journal of Network and Systems Management";journal;"15737705, 10647570";0,401;Q2;32;39;113;1499;308;111;3,21;38,44;United States;Northern America;"Springer New York";"1993-2020";"Computer Networks and Communications (Q2); Hardware and Architecture (Q2); Information Systems (Q2); Strategy and Management (Q2)"
202;12909;"Systems Research and Behavioral Science";journal;"10991743, 10927026";0,401;Q2;43;75;180;3467;198;156;1,01;46,23;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1997-2020";"Information Systems and Management (Q2); Social Sciences (miscellaneous) (Q2); Strategy and Management (Q2)"
203;24017;"ZWF Zeitschrift fuer Wirtschaftlichen Fabrikbetrieb";journal;"09470085";0,401;Q2;13;101;585;1116;197;542;0,38;11,05;Germany;Western Europe;"Carl Hanser Verlag GmbH &amp; Co. KG";"1995-2019";"Engineering (miscellaneous) (Q1); Strategy and Management (Q2); Management Science and Operations Research (Q3)"
204;21100326278;"Polish Journal of Management Studies";journal;"20817452";0,400;Q2;17;159;287;5116;835;287;3,19;32,18;Poland;Eastern Europe;"Czestochowa University of Technology";"2010-2019";"Business and International Management (Q2); Organizational Behavior and Human Resource Management (Q2); Strategy and Management (Q2)"
205;20201;"International Journal of Manpower";journal;"01437720";0,399;Q2;54;125;196;6839;302;191;1,49;54,71;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1970, 1980-2020";"Management of Technology and Innovation (Q2); Organizational Behavior and Human Resource Management (Q2); Strategy and Management (Q2)"
206;10400153306;"International Journal of Organizational Analysis";journal;"19348835";0,393;Q2;22;113;151;8915;307;151;2,13;78,89;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2005-2020";"Strategy and Management (Q2); Organizational Behavior and Human Resource Management (Q3)"
207;19900191757;"Journal of Accounting and Organizational Change";journal;"18325912";0,393;Q2;23;31;74;2463;111;73;1,24;79,45;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2005-2020";"Accounting (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Strategy and Management (Q2); Organizational Behavior and Human Resource Management (Q3)"
208;5700162125;"Action Research";journal;"14767503";0,392;Q2;34;45;99;1645;116;73;1,21;36,56;United Kingdom;Western Europe;"SAGE Publications Ltd";"2003-2020";"Sociology and Political Science (Q2); Strategy and Management (Q2); Organizational Behavior and Human Resource Management (Q3)"
209;3900148211;"International Journal of Integrated Supply Management";journal;"14775360, 17418097";0,392;Q2;20;9;34;418;57;34;2,00;46,44;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2006-2019";"Marketing (Q2); Strategy and Management (Q2)"
210;21100853248;"Journal of Strategy and Management";journal;"1755425X, 17554268";0,391;Q2;17;39;78;3221;139;78;1,43;82,59;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2008-2020";"Business and International Management (Q2); Strategy and Management (Q2)"
211;700147309;"Journal of General Management";journal;"03063070";0,390;Q2;18;23;55;1089;63;46;1,56;47,35;United Kingdom;Western Europe;"SAGE Publications Inc.";"1982, 2005-2020";"Business, Management and Accounting (miscellaneous) (Q2); Strategy and Management (Q2)"
212;19700188331;"Journal of Change Management";journal;"14791811, 14697017";0,388;Q2;25;19;56;1198;106;51;1,60;63,05;United States;Northern America;"Routledge";"2006, 2010-2020";"Strategy and Management (Q2)"
213;5600152813;"Business and Society Review";journal;"00453609, 14678594";0,387;Q2;19;26;68;1588;78;67;1,09;61,08;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2007-2020";"Business and International Management (Q2); Industrial Relations (Q2); Sociology and Political Science (Q2); Strategy and Management (Q2)"
214;17700156766;"Journal of Revenue and Pricing Management";journal;"14766930, 1477657X";0,373;Q2;21;55;147;1813;131;134;0,82;32,96;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"2009-2020";"Business and International Management (Q2); Finance (Q2); Strategy and Management (Q2); Economics and Econometrics (Q3)"
215;21100198209;"International Journal of Entrepreneurial Venturing";journal;"17425379, 17425360";0,372;Q2;14;24;70;2024;84;69;1,35;84,33;Switzerland;Western Europe;"Inderscience Publishers";"2009, 2011-2020";"Business and International Management (Q2); Management of Technology and Innovation (Q2); Strategy and Management (Q2)"
216;5800157981;"International Studies of Management and Organization";journal;"00208825, 15580911";0,372;Q2;19;27;73;1429;110;66;1,69;52,93;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2009-2020";"Business and International Management (Q2); Strategy and Management (Q2)"
217;21100448564;"Journal of Islamic Accounting and Business Research";journal;"17590817, 17590825";0,372;Q2;16;42;86;2396;145;84;1,50;57,05;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2010-2020";"Business and International Management (Q2); Strategy and Management (Q2); Accounting (Q3)"
218;21100464627;"Entrepreneurship Research Journal";journal;"21575665, 21946175";0,371;Q3;11;27;52;2454;95;50;1,92;90,89;Germany;Western Europe;"de Gruyter";"2015-2020";"Business and International Management (Q2); Management of Technology and Innovation (Q3); Strategy and Management (Q3)"
219;15492;"Journal of Organizational and End User Computing";journal;"15465012, 15462234";0,371;Q2;30;22;64;1266;121;64;1,97;57,55;United States;Northern America;"IGI Publishing";"2004-2020";"Strategy and Management (Q2); Computer Science Applications (Q3); Human-Computer Interaction (Q3)"
220;21100894526;"Journal of Energy Markets";journal;"17563615, 17563607";0,370;Q3;6;13;46;472;33;46;0,50;36,31;United Kingdom;Western Europe;"Infopro digital";"2013-2019";"Energy (miscellaneous) (Q2); Economics and Econometrics (Q3); Strategy and Management (Q3)"
221;21100314708;"International Journal of Business and Systems Research";journal;"17512018, 1751200X";0,369;Q3;14;25;68;1075;54;66;0,74;43,00;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2007-2020";"Business and International Management (Q2); Management Information Systems (Q2); Strategy and Management (Q3)"
222;21100838559;"Fashion and Textiles";journal;"21980802";0,361;Q3;10;34;85;1589;150;81;1,72;46,74;Singapore;Asiatic Region;"Springer Singapore";"2014-2020";"Cultural Studies (Q1); Materials Science (miscellaneous) (Q2); Marketing (Q3); Social Psychology (Q3); Strategy and Management (Q3)"
