Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
71;21100830431;"Service Science";journal;"21643970, 21643962";0,619;Q2;12;8;91;319;196;85;2,05;39,88;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"2015-2019";"Business and International Management (Q1); Management Science and Operations Research (Q2); Marketing (Q2); Modeling and Simulation (Q2)"
72;144670;"Marketing Intelligence and Planning";journal;"02634503";0,616;Q2;64;92;163;5510;520;162;3,03;59,89;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1983-2020";"Marketing (Q2)"
73;21100242603;"Journal of Place Management and Development";journal;"17538343, 17538335";0,598;Q2;25;42;92;2696;204;80;2,45;64,19;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2008-2020";"Geography, Planning and Development (Q1); Urban Studies (Q1); Business and International Management (Q2); Marketing (Q2); Strategy and Management (Q2); Tourism, Leisure and Hospitality Management (Q2)"
74;21100242210;"Journal of Social Marketing";journal;"20426763, 20426771";0,588;Q2;22;29;72;1979;200;67;2,67;68,24;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2011-2020";"Management of Technology and Innovation (Q2); Marketing (Q2)"
75;21100435972;"Journal of Global Fashion Marketing";journal;"20932685, 23254483";0,579;Q2;17;26;69;1269;133;69;2,00;48,81;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2020";"Cultural Studies (Q1); Management of Technology and Innovation (Q2); Marketing (Q2); Strategy and Management (Q2)"
76;21100886545;"Journal of Interactive Advertising";journal;"15252019";0,564;Q2;4;21;13;1421;27;12;2,25;67,67;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2018-2020";"Communication (Q2); Marketing (Q2)"
77;144655;"Qualitative Market Research";journal;"13522752";0,541;Q2;51;46;79;2990;217;77;2,02;65,00;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1998-2020";"Marketing (Q2)"
78;21100855756;"Spanish Journal of Marketing - ESIC";journal;"24449709, 24449695";0,512;Q2;7;21;48;1803;153;46;3,37;85,86;Spain;Western Europe;"Emerald Group Publishing Ltd.";"2016-2019";"Marketing (Q2)"
79;21100395911;"Asia Pacific Journal of Marketing and Logistics";journal;"13555855, 17584248";0,508;Q2;42;153;193;12650;691;184;3,79;82,68;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1993-2020";"Business and International Management (Q2); Marketing (Q2); Strategy and Management (Q2)"
80;21100827834;"Sport Marketing Quarterly";journal;"15572528, 10616934";0,505;Q2;5;0;46;0;53;39;1,36;0,00;United States;Northern America;"FiT Publishing";"2017-2018";"Marketing (Q2); Strategy and Management (Q2); Tourism, Leisure and Hospitality Management (Q2)"
81;5700153460;"Publishing Research Quarterly";journal;"19364792, 10538801";0,487;Q2;14;48;120;1216;104;117;0,80;25,33;United States;Northern America;"Springer US";"1991-2020";"Media Technology (Q1); Business and International Management (Q2); Communication (Q2); Computer Science Applications (Q2); Management of Technology and Innovation (Q2); Marketing (Q2)"
82;21100446531;"Journal of Entrepreneurship in Emerging Economies";journal;"20534604, 20534612";0,483;Q2;13;43;59;3834;156;57;2,59;89,16;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2014-2020";"Economics, Econometrics and Finance (miscellaneous) (Q1); Business and International Management (Q2); Marketing (Q2); Strategy and Management (Q2)"
83;17700155010;"Australasian Marketing Journal";journal;"14413582";0,478;Q2;32;42;143;2724;318;115;3,12;64,86;Australia;Pacific Region;"Elsevier BV";"2003-2020";"Economics and Econometrics (Q2); Marketing (Q2)"
84;20607;"Journal of Food Products Marketing";journal;"15404102, 10454446";0,477;Q2;22;45;161;2587;319;161;1,94;57,49;United States;Northern America;"Routledge";"1992-2020";"Business and International Management (Q2); Food Science (Q2); Marketing (Q2)"
85;4700152801;"Journal of International Consumer Marketing";journal;"08961530, 15287068";0,473;Q2;42;39;88;2990;121;73;1,44;76,67;United States;Northern America;"Routledge";"1988-1993, 1995-2020";"Management Information Systems (Q2); Marketing (Q2)"
